2111 子時三刻妻有妨/妻配火命必姓張 子立水土方存保 父金母土母先傷
2112 二千一百遇伴宮 父命屬牛壽先終 慈母屬馬高堂樂 壽比南山不老松
2113 運行乙丑主清閒 滿門喜氣有餘歡 萬朵紅花開雨後 一輪明月出雲端
2114 金鳥玉兔走東西 生逢三刻報君知 天火同人四數定 丹桂庭前一子奇
2115 子時二刻夫有妨 水火二命保安康 父母土命不刑剋 子宮水火定兒郎
2116 妻妾宮中主再婚 前妻屬牛註離分 瑤琴弦斷重偕配 再娶馬庚不剋侵
2117 運交乙丑吉和凶 上五年中喜氣生 下五年中多不利 口舌疾病有虛驚
2118 乙丑運臨顯出奇 龍驤自古世間稀 此年得遂平生志 朱筆點君入泮池
2121 辰時三刻數注凶 早剋妻子必姓鐘 若配水命方偕老 子立水火定能成
2122 乾卦爻象三數詳 父命屬牛母屬羊 一定椿處先去世 籌添海屋老萱堂
2123 運交丁丑祿盈出 入和順有貴人福 祿來時千里至求 名問利成有多成
2124 四數同人注得良 兒女宮中各自強 因生三刻前生定 膝下二子並昂藏
2125 辰時二刻主空房 夫主宜配金火強 父火母土父先喪 子宮水木是兒郎
2126 變爻逢謙不到頭 元配原來庚屬牛 續娶羊相同偕老 鷥鳳和鳴樂悠悠
2127 運交丁丑數如何 上五年中百事和 煩惱交到下五運 菱花相對照愁多
2128 運臨丁丑喜非常 折桂蟾宮袖自香 泮水池邊稱獨占 香花吹送姓名香
2131 申時三刻水命妻 若非賀姓必分離 子立金火不剋害 兄弟三人居未枝
2132 二親宮中犯刑傷 父命屬牛定先亡 母親屬猴如松壽 千祥去集福祿長
2133 運交己丑主興隆 凡事謀為樂心胸 家門和睦添喜氣 丹桂庭前日向榮
2134 三刻得生定命清 作育堂前三子成 莫謂數中無成效 自是榮枯各不同
2135 甲時二刻犯刑沖 父金母火父先終 夫宮水命同偕老 子命水火晚年榮
2136 赤繩繫足入洞房 前妻屬牛定要傷 鴛鴦分散尋再偶 再要屬猴才妥當
2137 運行流轉亡丑宮 已運五年財祿盈 丑運不利添煩惱 家中常有煩惱生
2138 苦用工夫費心機 要扳丹桂上天梯 運臨己丑初遂意 果然平地入泮池
2141 子時四刻定看妨 父本母火定光傷 妻非火命剋離早 長子火命壽綿長
2142 二千一百遇剋宮 父去母存壽不同 牛父早寢牛眠地 雞母房中壽如松
2143 運至辛丑事至通 盈門喜氣祿緣增 庭前燕雀鳴春日 草木青青正發榮
2144 數定時生三刻間 子息宮中育奇男 四枝蘭玉真堪愛 嶽起淵亭立玉山
2145 八歲神聰世已驚 此兒早得貴人星 窗前奮志勤攻讀 泮水功名萬里程
2146 二千一百咸卦遊 只恐妻宮不到頭 屬牛佳人早剋去 又配屬酉永無憂
2147 運行辛丑慮宜周 吉凶平分在兩頭 上五佳運多遂意 下五逢之發浩愁
2148 祖德宗功佑報成 榮華祿位驗君身 運交辛丑遊泮水 少年得意入黌門
