时段,分数,妻子情况,子女情况,丈夫情况
子,1,偕妻,五子,夫强
子,2,克妻,少子,克夫
子,3,和妻,四子,佳夫
子,4,丧妻,多子,丧夫
子,5,有妾,无子,又再嫁
子,6,贤妻,一子,偕夫
子,7,无妾,无子,无夫
子,8,丧妾,多子,夫又丧
子,9,克妾,少子,有夫
子,10,佳妻,二子,和夫
子,11,续妻,少子,再嫁
子,12,强妻,三子,夫兴
子,13,有妾,多子,又再嫁
子,14,续妻,多子,再嫁
子,15,有妻,无子,夫又丧
丑,1,和妻,四子,佳夫
丑,2,克妻,少子,夫丧
丑,3,有妾,多子,又再嫁
丑,4,贤妻,二子,和夫
丑,5,丧妻,多子,夫丧
丑,6,有妻,无子,有夫
丑,7,佳妻,一子,偕夫
丑,8,续妻,少于,再嫁
丑,9,丧妾,多子,夫又丧
丑,10,强妻,三子,夫兴
丑,11,无妻,无子,无夫
丑,12,续妻,多子,再嫁
丑,13,偕妻,五子,夫强
丑,14,续妻,无子,又再嫁
丑,15,无妻,少子,又丧夫
寅,1,贤妻,二子,和夫
寅,2,克妻,少子,克夫
寅,3,有妾,多子,又再嫁
寅,4,佳妻,一子,偕夫
寅,5,丧妻,多子,丧夫
寅,6,续妻,多子,再嫁
寅,7,强妻,三子,夫兴
寅,8,续妻,少子,再嫁
寅,9,偕妻,五子,强夫
寅,10,无妻,无子,无夫
寅,11,丧妾,多子,夫又丧
寅,12,和妻,四子,佳夫
寅,13,有妾,无子,又再嫁
寅,14,克妻,少子,夫又丧
寅,15,贤妻,二子,和夫
卯,1,佳妻,一子,偕夫
卯,2,续妻,少子,再嫁
卯,3,丧妾,多子,夫又丧
卯,4,强妻,三子,夫兴
卯,5,无妻,无子,无夫
卯,6,贤妻,二子,有夫
卯,7,偕妻,五子,夫强
卯,8,克妾,少子,夫又丧
卯,9,和妻,四子,佳夫
卯,10,克妻,少子,丧夫
卯,11,有妾,多子,又再嫁
卯,12,有妻,无子,和夫
卯,13,丧妻,多子,克夫
卯,14,续妻,多子,再嫁
卯,15,佳妻,一子,偕夫
辰,1,强妻,三子,夫兴
辰,2,有妾,无子,又再嫁
